[2025-10-12 10:13:42] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:42] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:42] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:42] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:42] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:42] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:42] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:43] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:43] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:43] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:43] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:43] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:43] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:43] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:43] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:44] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:44] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:44] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:44] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:44] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:44] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
